LD_Name,ND-LD_psnr,box_psnr,gaus_psnr,sharp_psnr,med_psnr,NDvsLD,Dict_PSNR,ND-dict_reconstruction
L192_QD_3_1.CT.0003.0013.2015.12.22.20.43.31.862066.358698348.IMA,23.398179472793057,19.91288905331316,21.52981251570867,9.246482766505684,22.218567650450417,23.398179472793057,22.912803791624192,0.14246121634457853
L192_QD_3_1.CT.0003.0014.2015.12.22.20.43.31.862066.358698372.IMA,23.288028142404656,19.97702590081279,21.57904369660292,9.271319857657812,22.08323276324778,23.288028142404656,22.976899301961478,0.14141382604222438
L192_QD_3_1.CT.0003.0015.2015.12.22.20.43.31.862066.358698396.IMA,23.900155115294822,20.57019157488909,22.1842699830935,9.88258689398289,22.838378487779444,23.900155115294822,23.604304181686942,0.13155932257866215
L192_QD_3_1.CT.0003.0016.2015.12.22.20.43.31.862066.358698420.IMA,24.245975846077524,20.978519615126743,22.60384325119236,10.23005260246805,23.605518888180832,24.245975846077524,24.144939765046406,0.12362031599581398
L192_QD_3_1.CT.0003.0017.2015.12.22.20.43.31.862066.358698444.IMA,24.046005959180587,20.96199946997409,22.560664156512967,10.148700885091158,23.651541516658607,24.046005959180587,24.033178974153092,0.12522120795960473
L192_QD_3_1.CT.0003.0018.2015.12.22.20.43.31.862066.358698468.IMA,24.66040875593292,20.953336594336943,22.645540743244126,10.255576336809645,23.577287295826817,24.660408755932917,24.325599253856296,0.12107566831566148
L192_QD_3_1.CT.0003.0019.2015.12.22.20.43.31.862066.358698492.IMA,24.793234281186407,20.78838481108102,22.521455076911224,10.160644262413818,23.356838605655863,24.793234281186407,24.32091158870722,0.12114102896322418
L192_QD_3_1.CT.0003.0020.2015.12.22.20.43.31.862066.358698516.IMA,24.504841149321464,20.43663436348414,22.16772126535895,9.81796874433756,22.73528551274316,24.504841149321464,23.789045675932417,0.12879071487973145
L192_QD_3_1.CT.0003.0021.2015.12.22.20.43.31.862066.358698540.IMA,24.971705172589417,20.36137260506343,22.16279241042948,9.779014383627535,22.635791570311504,24.971705172589417,23.849571994402346,0.1278963757633332
L192_QD_3_1.CT.0003.0022.2015.12.22.20.43.31.862066.358698564.IMA,24.869443113334377,20.25151924313141,22.04324118982693,9.719563589336826,22.7889522600986,24.869443113334377,23.809681702855755,0.1284850957503823
L192_QD_3_1.CT.0003.0023.2015.12.22.20.43.31.862066.358698588.IMA,24.46554600529611,20.439021156875924,22.16007461131438,9.793245630743629,22.76438002890771,24.46554600529611,23.76285109561141,0.12917970334266868
L192_QD_3_1.CT.0003.0024.2015.12.22.20.43.31.862066.358698612.IMA,24.922363158855678,21.022657322477688,22.735507397795622,10.339493635582148,23.56202222293009,24.922363158855674,24.43688006573526,0.11953438029347724
L192_QD_3_1.CT.0003.0025.2015.12.22.20.43.31.862066.358698636.IMA,24.79651475767997,21.36468052346309,23.015729331421024,10.597381725822162,24.23062593606484,24.796514757679972,24.753253479123714,0.11525881858082437
L192_QD_3_1.CT.0003.0026.2015.12.22.20.43.31.862066.358698660.IMA,24.32181469846338,21.112567228204504,22.717683089656955,10.354960039097088,23.70003877495585,24.32181469846338,24.3279953436372,0.1210422729845316
L192_QD_3_1.CT.0003.0027.2015.12.22.20.43.31.862066.358698684.IMA,24.64590335846815,21.02627234907488,22.69249190083827,10.35881245332293,23.5811836167047,24.64590335846815,24.387073978273037,0.1202217758199657
L192_QD_3_1.CT.0003.0028.2015.12.22.20.43.31.862066.358698708.IMA,24.30885283387823,20.904736272961323,22.536311853359464,10.186456069061904,23.385898824556783,24.30885283387823,24.114406876323763,0.1240556343546302
